id,name,zip_format,zip_country/id
__export__.res_zip_fr-06440,06440,'00000’,base.fr
__export__.res_zip_fr-06450,06450,'00000’,base.fr
__export__.res_zip_fr-06460,06460,'00000’,base.fr
__export__.res_zip_fr-06470,06470,'00000’,base.fr
__export__.res_zip_fr-06480,06480,'00000’,base.fr
__export__.res_zip_fr-06500,06500,'00000’,base.fr
__export__.res_zip_fr-06510,06510,'00000’,base.fr
__export__.res_zip_fr-06520,06520,'00000’,base.fr
__export__.res_zip_fr-06530,06530,'00000’,base.fr
__export__.res_zip_fr-06540,06540,'00000’,base.fr
__export__.res_zip_fr-06550,06550,'00000’,base.fr
__export__.res_zip_fr-06560,06560,'00000’,base.fr
__export__.res_zip_fr-06570,06570,'00000’,base.fr
__export__.res_zip_fr-06580,06580,'00000’,base.fr
__export__.res_zip_fr-06590,06590,'00000’,base.fr
__export__.res_zip_fr-06600,06600,'00000’,base.fr
__export__.res_zip_fr-06610,06610,'00000’,base.fr
__export__.res_zip_fr-06620,06620,'00000’,base.fr
__export__.res_zip_fr-06640,06640,'00000’,base.fr
__export__.res_zip_fr-06650,06650,'00000’,base.fr
__export__.res_zip_fr-06660,06660,'00000’,base.fr
__export__.res_zip_fr-06670,06670,'00000’,base.fr
__export__.res_zip_fr-06690,06690,'00000’,base.fr
__export__.res_zip_fr-06700,06700,'00000’,base.fr
__export__.res_zip_fr-06710,06710,'00000’,base.fr
__export__.res_zip_fr-06730,06730,'00000’,base.fr
__export__.res_zip_fr-06740,06740,'00000’,base.fr
__export__.res_zip_fr-06750,06750,'00000’,base.fr
__export__.res_zip_fr-06790,06790,'00000’,base.fr
__export__.res_zip_fr-06800,06800,'00000’,base.fr
__export__.res_zip_fr-06810,06810,'00000’,base.fr
__export__.res_zip_fr-06830,06830,'00000’,base.fr
__export__.res_zip_fr-06850,06850,'00000’,base.fr
__export__.res_zip_fr-06910,06910,'00000’,base.fr
__export__.res_zip_fr-06950,06950,'00000’,base.fr
__export__.res_zip_fr-07000,07000,'00000’,base.fr
__export__.res_zip_fr-07100,07100,'00000’,base.fr
__export__.res_zip_fr-07110,07110,'00000’,base.fr
__export__.res_zip_fr-07120,07120,'00000’,base.fr
__export__.res_zip_fr-07130,07130,'00000’,base.fr
__export__.res_zip_fr-07140,07140,'00000’,base.fr
__export__.res_zip_fr-07150,07150,'00000’,base.fr
__export__.res_zip_fr-07160,07160,'00000’,base.fr
__export__.res_zip_fr-07170,07170,'00000’,base.fr
__export__.res_zip_fr-07190,07190,'00000’,base.fr
__export__.res_zip_fr-07200,07200,'00000’,base.fr
__export__.res_zip_fr-07210,07210,'00000’,base.fr
__export__.res_zip_fr-07220,07220,'00000’,base.fr
